Player,PlayerLine,PlayerLine
BELARIUS,Enter,3
BELARIUS,Exeunt,3
BELARIUS,How,3
BELARIUS,More,3
BELARIUS,So,3
BELARIUS,Such,3
BELARIUS,These,3
BELARIUS,We,3
BELARIUS,What,3
BELARIUS,Where,3
BELARIUS,Who,3
BELARIUS,Be,2
BELARIUS,Boys,2
BELARIUS,By,2
BELARIUS,Can,2
BELARIUS,Did,2
BELARIUS,Doth,2
BELARIUS,Ere,2
BELARIUS,Exit,2
BELARIUS,First,2
BELARIUS,From,2
BELARIUS,Good,2
BELARIUS,Hark,2
BELARIUS,Hath,2
BELARIUS,Have,2
BELARIUS,Here,2
BELARIUS,If,2
BELARIUS,Let,2
BELARIUS,Not,2
BELARIUS,Or,2
BELARIUS,SCENE,2
BELARIUS,Stay,2
BELARIUS,Their,2
BELARIUS,Though,2
BELARIUS,Till,2
BELARIUS,Tis,2
BELARIUS,When,2
BELARIUS,Which,2
BELARIUS,Whose,2
BELARIUS,Will,2
BELARIUS,Yet,2
BENEDICK,I,23
BENEDICK,And,11
BENEDICK,Enter,10
BENEDICK,the,8
BENEDICK,you,8
BENEDICK,to,7
BENEDICK,Exit,6
BENEDICK,In,6
BENEDICK,The,5
BENEDICK,and,5
BENEDICK,Come,4
BENEDICK,Exeunt,4
BENEDICK,If,4
BENEDICK,SCENE,4
BENEDICK,not,4
BENEDICK,so,4
BENEDICK,with,4
BENEDICK,How,3
BENEDICK,Ill,3
BENEDICK,Is,3
BENEDICK,O,3
BENEDICK,Shall,3
BENEDICK,Sir,3
BENEDICK,That,3
BENEDICK,Well,3
BENEDICK,Why,3
BENEDICK,Yet,3
BENEDICK,have,3
BENEDICK,in,3
BENEDICK,is,3
BENEDICK,it,3
BENEDICK,my,3
BENEDICK,no,3
BENEDICK,of,3
BENEDICK,out,3
BENEDICK,rather,3
BENEDICK,that,3
BENEDICK,thee,3
BENEDICK,them,3
BENEDICK,were,3
BENEDICK,A,2
BENEDICK,ACT,2
BENEDICK,An,2
BENEDICK,But,2
BENEDICK,Do,2
BENEDICK,Ha,2
BENEDICK,Ist,2
BENEDICK,Lady,2
BENEDICK,May,2
BENEDICK,Nay,2
BENEDICK,No,2
BENEDICK,Not,2
BENEDICK,Reenter,2
BENEDICK,Signior,2
BENEDICK,Tarry,2
BENEDICK,Think,2
BENEDICK,Thou,2
BENEDICK,To,2
BENEDICK,Troth,2
BENEDICK,What,2
BENEDICK,With,2
BENEDICK,You,2
